GID,CP_CD,SGG_NM,HE_SEID,CPH_NM,CPH_FULL_N,CAC_CD,APM_NO,SID_CD,SGG_CD,AREA_SZ,CREATE_DT,CREATOR_ID,UPDATE_DT,UPDATER_ID,AREA_SZ2,MIN_SCALE,MAX_SCALE,URL,centroid_longitude,centroid_latitude
176,12001322000000036,곡성군,HE0000146218,곡성 가곡리 오층석탑,곡성 가곡리 오층석탑(보물 제1322호),12,0013220000000,ADDR460000,ADD1467200,8.44,,,,,8.454131,,,,127.14347343001873,35.24925995919415
178,15000021000000034,공주시,HE0000144230,공주 고마나루,공주 고마나루(명승 제21호),15,0000210000000,ADDR440000,ADD1441500,884578.6,,,,,883879.795134,,,,127.10628798772174,36.47166103087719
181,12000149000000034,공주시,HE0000148243,공주 반죽동 석조,공주 반죽동 석조(보물 제149호),12,0001490000000,ADDR440000,ADD1441500,3.67,,,,,3.692893,,,,127.11179355553128,36.46605358394895
50,16000233000000038,거제시,HE0000147382,거제 학동리 동백나무 숲 및 팔색조 번식지,거제 학동리 동백나무 숲 및 팔색조 번식지(천연기념물 제233호),16,0002330000000,ADDR480000,ADD1483100,20513.59,,,,,20491.632988,,,,128.6376464860018,34.76187645989257
139,12001293000000034,공주시,HE0000149148,공주 계룡산 중악단,공주 계룡산 중악단(보물 제1293호),12,0012930000000,ADDR440000,ADD1441500,363.13,,,,,362.84322,,,,127.18479237394732,36.335324279240766
140,12000007000000031,여주군,HE0000146130,여주 고달사지 원종대사탑,여주 고달사지 원종대사탑(보물 제7호),12,0000070000000,ADDR410000,ADD1417300,6.94,,,,,6.962771,,,,127.65306278235595,37.394305496935225
141,12000006000000031,여주군,HE0000145820,여주 고달사지 원종대사탑비,여주 고달사지 원종대사탑비(보물 제6호),12,0000060000000,ADDR410000,ADD1417300,9.06,,,,,8.957081,,,,127.65391010642286,37.39278675456145
142,11000004000000031,여주군,HE0000145808,여주 고달사지 승탑,여주 고달사지 승탑(국보 제4호),11,0000040000000,ADDR410000,ADD1417300,9.0,,,,,8.990989,,,,127.65215920368223,37.39390863554031
143,12000008000000031,여주군,HE0000146131,여주 고달사지 석조대좌,여주 고달사지 석조대좌(보물 제8호),12,0000080000000,ADDR410000,ADD1417300,7.06,,,,,6.99204,,,,127.65433593743273,37.392896153526394
144,13000224000000023,강화군,HE0000148496,강화 홍릉,강화 홍릉(사적 제224호),13,0002240000000,ADDR280000,ADD1287100,31415.74,,,,,31395.004336,,,,126.44138665154027,37.742722353458554
225,12001295000000033,괴산군,HE0000148485,괴산 각연사 통일대사탑비,괴산 각연사 통일대사탑비(보물 제1295호),12,0012950000000,ADDR430000,ADD1437600,6.02,,,,,5.995294,,,,127.92878987693325,36.75137245810584
226,18000136000000033,괴산군,HE0000148551,괴산 김항묵 고택,괴산 김항묵 고택(국가민속문화유산 제136호),18,0001360000000,ADDR430000,ADD1437600,2016.75,,,,,2015.031633,,,,127.85935406007678,36.78169938826274
227,12000096000000033,충주시,HE0000145182,충주 미륵리 석조여래입상,충주 미륵리 석조여래입상(보물 제96호),12,0000960000000,ADDR430000,ADD1431300,9.06,,,,,9.077041,,,,128.0951159514316,36.82160027285381
228,12000095000000033,충주시,HE0000145181,충주 미륵리 오층석탑,충주 미륵리 오층석탑(보물 제95호),12,0000950000000,ADDR430000,ADD1431300,7.25,,,,,7.244852,,,,128.09510454440883,36.82201946279575
230,12001299000000033,괴산군,HE0000148487,괴산 보안사 삼층석탑,괴산 보안사 삼층석탑(보물 제1299호),12,0012990000000,ADDR430000,ADD1437600,2.96,,,,,2.952682,,,,127.6553549646257,36.7572990631615
231,16000266000000033,괴산군,HE0000148727,괴산 사담리 망개나무 자생지,괴산 사담리 망개나무 자생지(천연기념물 제266호),16,0002660000000,ADDR430000,ADD1437600,815438.6,,,,,814685.056914,,,,127.80969980904423,36.61854404384135
189,13000333000000034,공주시,HE0000148945,공주 학봉리 요지,공주 학봉리 요지(사적 제333호),13,0003330000000,ADDR440000,ADD1441500,32851.99,,,,,32825.732026,,,,127.25191482346249,36.3580961759598
190,12000442000000037,경주시,HE0000146119,경주 양동 관가정,경주 양동 관가정(보물 제442호),12,0004420000000,ADDR470000,ADD1471300,383.6,,,,,383.133962,,,,129.25199955564304,35.99949159189745
191,12000322000000050,제주시,HE0000148205,제주 관덕정,제주 관덕정(보물 제322호),12,0003220000000,ADDR500000,ADD1501100,458.81,,,,,458.605755,,,,126.5215135920045,33.51337974455546
192,12000212000000038,창녕군,HE0000147972,창녕 관룡사 대웅전,창녕 관룡사 대웅전(보물 제212호),12,0002120000000,ADDR480000,ADD1487400,203.88,,,,,203.767619,,,,128.55343025518394,35.53195404170692
193,12000519000000038,창녕군,HE0000145764,창녕 관룡사 석조여래좌상,창녕 관룡사 석조여래좌상(보물 제519호),12,0005190000000,ADDR480000,ADD1487400,1.3,,,,,1.299871,,,,128.5532520581542,35.531783020073426
194,12000146000000038,창녕군,HE0000148240,창녕 관룡사 약사전,창녕 관룡사 약사전(보물 제146호),12,0001460000000,ADDR480000,ADD1487400,48.13,,,,,48.107919,,,,128.55323947220796,35.53177589741138
195,12000295000000038,창녕군,HE0000148295,창녕 관룡사 용선대 석조여래좌상,창녕 관룡사 용선대 석조여래좌상(보물 제295호),12,0002950000000,ADDR480000,ADD1487400,2.31,,,,,2.306359,,,,128.5490720077781,35.53161229503183
196,13000048000000037,경주시,HE0000147161,관문성,관문성(사적 제48호),13,0000480000000,ADDR470000,ADD1471300,957779.25,,,,,956601.622386,,,,129.31619127201375,35.657898784225466
197,12000431000000037,경산시,HE0000145537,경산 팔공산 관봉 석조여래좌상,경산 팔공산 관봉 석조여래좌상(보물 제431호),12,0004310000000,ADDR470000,ADD1472900,9.1,,,,,9.067084,,,,128.73598033842214,35.98161445646347
200,12000851000000011,종로구,HE0000147107,창경궁 관천대,창경궁 관천대(보물 제851호),12,0008510000000,ADDR110000,ADD1111100,6.31,,,,,6.317415,,,,126.99494084413517,37.57748999156928
